zip,sales_price,beds,baths,sqft,avg_school_rating,avg_school_distance,walk_score,LotSizeSquareFeet,ownership_years,house_age,Time_on_market
91342,485000,3,2,1567,5,2.333333333,NA,11069,19,55,185
91387,489000,3,3,2134,7.666666667,3.733333333,9,8768,19,26,107
91765,868000,5,3,2530,10,1.7,7,6202,19,29,54
91766,5.00E+05,3,2.75,2083,7.666666667,1.2,18,5848,19,34,143
92109,1149000,3,3,1407,7.666666667,1.733333333,70,1379,19,30,17
93111,999000,3,2,2076,8.666666667,1.4,48,7840,19,19,157
93908,640200,4,2.5,2042,7.333333333,1.7,10,NA,19,19,329
95819,420000,3,2,1808,6.666666667,1.233333333,59,5980,19,74,84
90241,530000,3,2,1757,6.666666667,0.666666667,61,7473,20,63,44
90504,615000,4,2.75,1600,7.666666667,0.7,64,6111,20,68,56
91977,460000,4,3,1949,5.333333333,0.666666667,35,3228,20,38,182
92067,2400000,4,4,4194,10,2.3,0,312760,20,36,246
92081,495000,3,3,1699,7.333333333,0.866666667,37,81821,20,19,74
92111,429900,3,2,1226,6,0.8,20,7551,20,32,101
92116,730000,3,2,2001,4.333333333,1.2,65,9351,20,86,81
92117,665000,4,2,1874,6,1.866666667,16,10200,20,48,37
92128,755000,4,3,2081,9.666666667,1.3,29,24823,20,30,38
92211,263500,3,3,1950,8,1.433333333,6,7841,20,54,50
92630,670000,4,2,2032,8,0.433333333,20,6700,20,39,54
92804,487500,3,2,1136,4.333333333,0.566666667,NA,6100,20,57,89
92840,515000,3,1,1087,7.333333333,1.033333333,76,7872,20,64,49
93455,475000,3,2,1616,7,1.766666667,4,10018,20,20,79
93722,275000,3,2,1841,6,1.5,30,6120,20,21,50
94015,908000,3,2,1390,7,0.4,61,6300,20,55,42
94080,820000,3,2,1590,5.666666667,2.266666667,65,4575,20,38,47
94510,735000,5,3,3110,8.666666667,1.033333333,4,8084,20,28,94
94538,705000,3,2,1078,7.666666667,0.433333333,43,7133,20,53,41
94544,585000,3,2,1184,3.333333333,0.966666667,45,5900,20,61,39
94551,715000,3,2,1899,8.333333333,1.733333333,29,7677,20,36,178
95355,578500,4,3,2887,5.666666667,1.233333333,36,10767,20,40,52
95404,724500,4,2,2154,8.333333333,0.9,22,9680,20,49,42
95621,265500,2,2,1172,3,1,NA,2614,20,40,44
96150,289900,3,2,1232,5,1.433333333,58,NA,20,59,241
91730,298000,3,1,1140,5.333333333,1.266666667,54,9750,19,63,76
92325,270000,3,3,2451,4.666666667,3.533333333,58,6098,19,26,239
92553,199000,2,1,766,3.333333333,0.733333333,48,3484,19,31,176
94558,825000,4,3,2137,6.5,2,4,30795,19,30,230
95409,480000,2,2,1215,9.333333333,3.733333333,29,2582,19,19,28
90024,4675000,4,5,4070,5.666666667,2.166666667,43,11416,20,81,96
90068,1185000,2,1.5,1435,5.666666667,1.166666667,21,5711,20,68,63
90814,689000,3,2,1739,4.666666667,0.8,91,6403,20,93,88
91784,675000,4,3,2559,8,2.2,11,25265,20,51,76
91945,415000,3,2.5,1461,5,0.6,51,4527,20,29,54
92116,895000,2,3,1692,4,1.033333333,40,11827,20,75,27
92505,375000,4,3,1789,3.666666667,0.9,4,8712,20,27,46
92612,1650000,5,3,2844,10,0.866666667,19,5096,20,20,49
92835,667000,3,2,1446,9,0.7,50,8044,20,44,39
93637,156000,3,NA,1394,4.666666667,0.4,62,7500,20,52,53
93711,389000,3,3,2902,5.666666667,1.766666667,31,13970,20,37,84
93722,270000,3,2.5,1792,5.666666667,1.866666667,12,6500,20,20,60
93940,1115000,3,3,3121,5,2.066666667,8,NA,20,32,43
94533,433000,4,3,1948,8,0.566666667,2,7911,20,27,42
95032,1355500,4,3,2045,10,1.066666667,44,8008,20,38,42
95037,1100000,4,3,3558,8,4.166666667,13,7920,20,27,147
95382,285000,3,2,1385,5,0.8,46,6534,20,20,165
95403,748000,4,3,2321,7.333333333,2.433333333,18,6816,20,25,33
90266,2400000,3,4,3891,10,0.733333333,66,5505,19,56,247
91741,532500,4,2,1615,9,0.8,35,8892,19,54,162
92260,270000,3,2,1635,8.666666667,1.9,41,7405,19,60,80
92506,585000,4,3,3429,6,2.2,2,NA,19,26,292
92708,715000,4,3,2301,10,0.566666667,49,9000,19,51,46
93021,364000,2,2,952,8.333333333,0.633333333,35,3200,19,31,70
95076,308995,2,1.5,1054,2.666666667,0.766666667,NA,4095,19,39,186
90047,393000,4,2,1230,1.666666667,0.7,72,5515,20,80,75
90638,875000,4,2,2736,8,1.133333333,40,18947,20,53,56
90640,610000,3,2,1904,4,0.733333333,68,7979,20,55,105
91010,520000,3,2,1292,6.333333333,1.3,40,6601,20,62,91
91320,644000,4,3.5,2197,8.333333333,0.833333333,53,9288,20,46,119
91361,975000,4,3,2312,9.666666667,1.933333333,36,7324,20,48,46
91784,625000,4,3,2460,8.333333333,0.966666667,17,10080,20,44,74
91789,6.00E+05,3,2,1297,9.666666667,1.066666667,53,9086,20,42,182
91915,623500,4,2.5,2740,8.666666667,1.066666667,19,7680,20,18,66
92020,625000,3,3,2136,7.666666667,0.933333333,57,12900,20,56,107
92081,575000,4,3,2537,7,1.866666667,28,5181,20,21,152
92111,5.00E+05,3,2,1328,7.666666667,0.966666667,21,6400,20,58,44
92131,1005000,5,4,3076,9.666666667,1.533333333,8,7382,20,19,57
92504,345000,3,2,1307,4.666666667,1.133333333,28,7840,20,29,135
92551,240000,3,3,1300,4.666666667,2.333333333,11,5227,20,31,62
92595,272000,3,2,1191,5,1.3,17,7841,20,24,36
92675,1377500,4,5,3546,8.333333333,1.9,0,12000,20,20,281
92708,691500,4,3,2050,9.333333333,0.533333333,54,5400,20,45,55
92868,595000,3,2,1368,4,0.533333333,85,4664,20,91,87
93021,597000,4,3,2019,7.333333333,0.766666667,59,NA,20,20,65
93117,1047000,4,2.5,2254,8,2.233333333,16,8276,20,19,46
93905,265000,3,2,1200,3,0.7,39,6309,20,31,40
94536,970000,3,2,1594,8.666666667,0.5,39,7280,20,58,40
95301,325000,4,2,2407,4.333333333,0.633333333,20,NA,20,36,44
95687,315500,3,2,1526,6.666666667,0.833333333,50,5662,20,36,59
95687,365000,3,2,1346,6.666666667,1.133333333,29,6033,20,20,176
95822,220000,3,2,1020,6.333333333,1.2,40,6534,20,59,47
90703,699000,5,3,2621,7.333333333,0.9,35,5103,18,48,118
91711,748000,4,3,2248,8.666666667,1.333333333,16,13418,18,38,53
92126,715000,6,4,2458,8.333333333,1.1,20,7828,18,30,88
90265,2680000,3,2,1797,9,3.8,17,45697,19,59,53
90266,2700000,4,3,3874,10,0.933333333,81,4482,19,27,159
90703,610000,3,2,1200,10,0.966666667,32,5106,19,46,79
90805,365000,2,1,837,3.333333333,1,NA,5206,19,74,72
91506,770000,4,2,1600,6.666666667,0.4,79,7139,19,72,105
91701,541000,4,3,2657,9,1.033333333,55,7500,19,19,109
91730,5.00E+05,4,2,1903,7.666666667,0.866666667,24,8467,19,30,69
92307,278000,3,3,2284,6.333333333,2.466666667,1,18750,19,28,154
92324,299000,4,3,1718,3.333333333,1.266666667,25,3049,19,20,66
92397,220000,2,2,1188,6.333333333,4.033333333,0,3240,19,33,19
92543,126500,2,2,1064,3.666666667,1.4,23,4356,19,52,17
92544,264000,4,2,2037,4.666666667,0.433333333,38,9148,19,28,70
92604,925000,5,3,2800,9.666666667,0.6,37,7700,19,40,74
92677,948500,3,2,1818,9,2.1,37,4600,19,27,135
92691,705000,4,2,1640,9.333333333,1.966666667,55,7125,19,43,83
92701,450000,3,2,922,3,0.633333333,66,4896,19,93,104
92886,885000,4,3,3095,9.333333333,1.233333333,37,7800,19,30,99
93455,412000,4,2,1837,7,1.4,9,10454,19,55,65
93560,2.00E+05,3,1.75,1473,3.333333333,1.4,43,6098,19,25,48
95128,1200000,3,3,1739,6,1.066666667,68,2464,19,19,47
95503,260000,4,2,2055,6.333333333,0.8,57,6737,19,109,25
95660,192000,2,2,1148,3,1,47,4356,19,32,51
90046,2245000,3,3,3612,6.333333333,1.6,9,NA,18,48,300
91910,690000,5,3,2570,8.333333333,0.833333333,5,12208,18,18,86
92240,165500,3,2,1822,3,1.133333333,5,9148,18,29,273
92688,830000,5,3,2876,9.333333333,1.6,2,6720,18,20,354
95060,740000,3,2,1536,9.333333333,1.733333333,16,10149,18,55,218
91040,1695000,5,6,5265,4.333333333,2.766666667,8,98703,19,65,55
91403,1475000,3,3,2777,5.666666667,1.566666667,36,9007,19,78,71
91709,552000,4,2,1705,8.333333333,1.1,14,7442,19,31,35
91791,510000,3,2,1682,7.333333333,0.566666667,24,7450,19,63,52
92315,262500,2,2,1056,4.666666667,2.366666667,13,7841,19,38,93
92399,650000,5,5,4242,6.333333333,2.333333333,8,22216,19,24,163
92571,130000,3,2,1114,5.333333333,1.433333333,1,52708,19,69,43
92627,650000,2,2,1571,7.666666667,0.9,37,4606,19,46,137
92656,674900,3,3,2054,9.666666667,1.766666667,26,3695,19,27,33
92679,725000,4,3,2160,9,2.933333333,11,5160,19,27,91
92870,620000,4,2.5,2000,8.333333333,0.366666667,50,3500,19,20,88
92887,1405000,5,6,4390,9.333333333,1.366666667,20,30400,19,26,112
93003,894000,4,3,2065,8,3.4,3,19629,19,38,53
93230,140000,3,2,1032,5.333333333,1.1,19,9998,19,19,67
93306,150000,3,2,1400,4,1,41,7405,19,58,144
93309,175000,3,2,1264,5,1.566666667,64,7405,19,37,144
93402,445000,3,2,1176,7.333333333,1.533333333,48,6250,19,44,44
93611,357500,4,3,2766,8.333333333,0.966666667,22,11000,19,21,42
94526,1060000,4,2,2177,9.666666667,1.833333333,2,12075,19,27,22
94559,725000,3,2,1855,4.333333333,1.2,47,6202,19,19,23
95035,1160000,4,3,2496,8.666666667,1.233333333,NA,5000,19,32,76
95355,274500,3,2,1690,7.333333333,0.933333333,45,4992,19,23,44
95356,280000,3,2.5,1856,6.333333333,1.466666667,62,3420,19,27,78
95821,277000,2,1,1169,6.333333333,1.6,44,9148,19,65,40
90032,410000,2,2,1444,4.333333333,0.6,65,5378,18,54,155
91362,775000,4,2.5,2476,9.666666667,1.766666667,17,NA,18,18,349
92882,369900,4,2,1706,6,0.666666667,34,7405,18,52,193
92882,514000,5,3,2510,7,1.066666667,54,6970,18,26,181
90024,2100000,3,3,2876,6.666666667,0.833333333,70,6244,19,87,167
90047,340000,3,2,1286,2,1.333333333,67,3968,19,92,94
90049,2200000,5,3.5,3637,7,2.1,7,8206,19,52,180
90731,485000,3,2,2200,3.333333333,0.5,85,4500,19,103,116
91001,840000,3,2,1605,5,2,43,6130,19,71,29
91342,470000,4,3,2375,3.666666667,1.333333333,NA,9320,19,39,37
91740,525000,3,2,1529,8,1.433333333,35,6075,19,59,39
91915,620000,4,3,2740,8.333333333,1.033333333,19,8785,19,18,75
92064,455000,4,2,1449,8.666666667,1.4,25,7000,19,57,62
92064,8.00E+05,4,3,2517,9.333333333,1.733333333,NA,7572,19,40,111
92069,535000,4,2.5,1908,7.333333333,1.533333333,22,5360,19,24,61
92508,605000,4,2.5,2800,7.333333333,1.233333333,2,108900,19,39,54
92587,269000,3,1.75,1496,7,4.166666667,14,9583,19,37,91
92612,1830000,5,3,3192,10,0.866666667,25,6200,19,20,60
92629,1125000,3,3,2081,7,1.233333333,61,3200,19,32,87
92648,1126000,3,3,2300,9,0.4,79,2938,19,36,58
92679,650000,3,3,1678,9,2.833333333,40,4590,19,32,121
92692,525000,2,2,1000,8.666666667,0.7,38,4620,19,41,44
93004,475000,3,2,1110,7.666666667,2.666666667,41,7116,19,54,57
93277,241000,4,2,1746,7.333333333,0.733333333,10,NA,19,19,73
93306,195000,3,1.75,1794,4,1.333333333,19,8276,19,57,51
93307,145500,3,1.75,1069,3.333333333,0.6,NA,5227,19,32,37
93309,165000,3,1.75,1540,3.333333333,0.433333333,67,7405,19,55,134
94536,625000,2,1,1109,9.666666667,0.333333333,71,7621,19,69,42
94553,709500,4,3,2156,8.333333333,1.266666667,44,3700,19,19,51
